iter	RMSE
0	76898.82179
1	74379.30516
2	71982.71091
3	69611.13172
4	67378.47845
5	65213.32543
6	63047.91683
7	61064.07906
8	59141.26172
9	57361.34154
10	55700.12019
11	54139.38016
12	52666.68384
13	51202.90326
14	49785.07863
15	48458.82086
16	47198.21486
17	46007.77467
18	44848.47275
19	43773.47584
20	42718.52721
21	41684.94383
22	40702.77866
23	39886.91486
24	39072.49348
25	38312.05731
26	37597.82436
27	36877.34929
28	36158.72119
29	35534.49646
30	34876.31549
31	34295.44577
32	33785.23285
33	33316.45374
34	32840.69166
35	32346.4934
36	31898.92007
37	31502.85568
38	31035.62754
39	30600.99944
40	30255.88665
41	29824.79238
42	29485.96741
43	29139.07587
44	28826.47653
45	28479.88382
46	28183.65609
47	27879.26919
48	27630.2534
49	27348.22557
50	27030.21092
51	26779.21557
52	26480.66044
53	26242.53191
54	26006.77859
55	25827.20043
56	25585.42139
57	25405.93724
58	25186.29234
59	24994.44603
60	24841.9204
61	24643.63799
62	24456.78633
63	24295.16072
64	24122.32981
65	23950.913
66	23776.33874
67	23627.62109
68	23467.33303
69	23271.32222
70	23146.23047
71	23018.29818
72	22857.90483
73	22716.65814
74	22610.9713
75	22478.7304
76	22377.52411
77	22266.71212
78	22169.60909
79	22060.04958
80	21954.23091
81	21831.83069
82	21729.30773
83	21636.43062
84	21544.02482
85	21467.78852
86	21380.41735
87	21276.46651
88	21177.45318
89	21110.94001
90	21014.80532
91	20914.07727
92	20816.45453
93	20725.00499
94	20657.64016
95	20602.87586
96	20547.29579
97	20473.56885
98	20408.66883
99	20309.7207
100	20245.77964
101	20174.11596
102	20114.6916
103	20058.41442
104	19995.57623
105	19940.63976
106	19890.4284
107	19824.78755
108	19763.65166
109	19712.75081
110	19678.23204
111	19637.67927
112	19583.02832
113	19540.98484
114	19484.18559
115	19428.54393
116	19377.23114
117	19320.92782
118	19237.68715
119	19145.9375
120	19100.37382
121	19040.59217
122	19008.649
123	18925.63683
124	18870.23444
125	18811.17595
126	18751.72616
127	18723.72745
128	18672.95479
129	18632.65937
130	18598.10348
131	18538.05381
132	18501.88358
133	18458.13124
134	18406.2702
135	18372.38162
136	18329.83711
137	18294.32037
138	18261.85945
139	18216.98162
140	18185.9787
141	18146.98986
142	18106.31842
143	18058.52103
144	18035.18117
145	18002.14921
146	17963.38253
147	17935.93625
148	17889.67733
149	17866.33549
150	17829.38873
151	17789.67482
152	17763.21669
153	17705.21313
154	17657.52036
155	17627.38272
156	17601.7354
157	17574.92012
158	17533.48755
159	17501.82343
160	17460.4822
161	17415.37152
162	17349.9651
163	17312.65822
164	17270.81972
165	17215.82787
166	17179.50178
167	17133.84577
168	17088.26737
169	17046.33926
170	16998.91178
171	16963.04977
172	16934.49948
173	16878.68766
174	16839.99832
175	16792.13543
176	16742.81411
177	16693.25275
178	16651.5457
179	16613.56748
180	16585.16963
181	16553.56361
182	16527.00107
183	16477.74548
184	16435.87158
185	16387.5692
186	16354.33282
187	16326.95387
