iter	Passed	Remaining
0	223	223516
1	281	140403
2	328	109171
3	398	99159
4	452	89965
5	583	96613
6	660	93680
7	715	88761
8	782	86121
9	828	82036
10	885	79610
11	937	77175
12	977	74190
13	1022	72004
14	1057	69474
15	1097	67481
16	1134	65615
17	1173	63997
18	1223	63158
19	1273	62384
20	1331	62074
21	1386	61631
22	1424	60493
23	1458	59327
24	1506	58736
25	1572	58912
26	1633	58874
27	1676	58194
28	1733	58027
29	1775	57400
30	1823	57011
31	1878	56835
32	1908	55936
33	1971	56006
34	2003	55237
35	2037	54561
36	2095	54530
37	2140	54197
38	2245	55334
39	2332	55969
40	2388	55862
41	2439	55653
42	2556	56891
43	2660	57812
44	2735	58059
45	2939	60971
46	2987	60570
47	3069	60875
48	3098	60131
49	3153	59925
50	3190	59366
51	3239	59066
52	3282	58643
53	3309	57980
54	3360	57736
55	3388	57123
56	3422	56629
57	3459	56194
58	3496	55759
59	3547	55580
60	3576	55060
61	3612	54650
62	3662	54467
63	3696	54064
64	3740	53805
65	3767	53322
66	3836	53423
67	3873	53094
68	3907	52728
69	3939	52335
70	3977	52044
71	4002	51587
72	4038	51277
73	4085	51121
74	4130	50937
75	4172	50726
76	4212	50500
77	4267	50439
78	4319	50359
79	4361	50151
80	4414	50080
81	4454	49869
82	4496	49679
83	4537	49484
84	4582	49327
85	4625	49163
86	4667	48985
87	4735	49072
88	4770	48830
89	4802	48556
90	4848	48427
91	4873	48097
92	4940	48182
93	4999	48184
94	5031	47930
95	5078	47821
96	5123	47696
97	5190	47776
98	5297	48209
99	5362	48261
100	5410	48157
101	5451	47993
102	5501	47909
103	5561	47916
104	5614	47855
105	5669	47816
106	5707	47631
107	5755	47538
108	5793	47358
109	5842	47267
110	5918	47404
111	5991	47503
112	6080	47728
113	6177	48011
114	6286	48378
115	6438	49064
116	6521	49219
117	6605	49376
118	6687	49508
119	6755	49541
120	6803	49423
121	6846	49269
122	6895	49167
123	6935	48998
124	7006	49044
125	7068	49033
126	7134	49042
127	7208	49110
128	7281	49162
129	7349	49186
130	7403	49109
131	7448	48982
132	7497	48875
133	7557	48839
134	7598	48689
135	7631	48480
136	7685	48411
137	7719	48218
138	7765	48102
139	7808	47963
140	7853	47843
141	7904	47758
142	7947	47628
143	7988	47488
144	8036	47390
145	8079	47260
146	8124	47141
147	8182	47106
148	8221	46953
149	8266	46842
150	8304	46689
151	8344	46556
152	8385	46422
153	8443	46387
154	8504	46363
155	8549	46256
156	8596	46157
157	8634	46011
158	8678	45902
159	8711	45737
160	8748	45591
161	8790	45470
162	8832	45355
163	8869	45210
164	8920	45144
165	8969	45061
166	9024	45015
167	9073	44935
168	9145	44970
169	9202	44930
170	9252	44856
171	9295	44746
172	9350	44699
173	9410	44670
174	9447	44536
175	9486	44412
176	9555	44431
177	9601	44341
178	9651	44265
179	9690	44143
180	9733	44041
181	9799	44044
182	9851	43983
183	9896	43887
184	9946	43820
185	9985	43699
186	10030	43606
187	10064	43471
188	10109	43379
189	10163	43328
190	10217	43279
191	10259	43173
192	10320	43151
193	10384	43145
194	10444	43116
195	10506	43098
196	10564	43061
197	10663	43193
198	10728	43183
199	10791	43164
200	10842	43099
201	10889	43018
202	10927	42902
203	10964	42784
204	11002	42666
205	11048	42586
206	11125	42620
207	11183	42584
208	11251	42584
209	11319	42583
210	11395	42612
211	11439	42519
212	11472	42388
213	11514	42292
214	11563	42220
215	11604	42120
216	11648	42029
217	11683	41911
218	11728	41826
219	11784	41780
220	11830	41702
221	11871	41604
222	11907	41489
223	11969	41466
224	12009	41367
225	12048	41264
226	12087	41161
227	12123	41048
228	12151	40913
229	12176	40765
230	12219	40678
231	12258	40578
232	12289	40456
233	12324	40344
234	12376	40287
235	12431	40245
236	12492	40219
237	12554	40196
238	12633	40227
239	12750	40375
240	12811	40349
241	12854	40262
242	12894	40170
243	12934	40076
244	12974	39982
245	13008	39872
246	13056	39802
247	13091	39696
248	13136	39620
249	13176	39530
250	13219	39447
251	13257	39352
252	13302	39276
253	13349	39206
254	13398	39144
255	13448	39085
256	13506	39047
257	13563	39006
258	13598	38904
259	13638	38817
260	13697	38782
261	13752	38737
262	13799	38668
263	13870	38667
264	14023	38894
265	14142	39025
266	14240	39093
267	14316	39101
268	14384	39089
269	14449	39068
270	14524	39072
271	14608	39100
272	14701	39150
273	14773	39144
274	14841	39126
275	14914	39123
276	15011	39182
277	15081	39167
278	15169	39200
279	15265	39254
280	15335	39238
281	15407	39228
282	15482	39225
283	15589	39302
284	15675	39326
285	15746	39310
286	15821	39306
287	15869	39232
288	15950	39241
289	16008	39193
290	16099	39226
291	16191	39259
292	16285	39295
293	16341	39240
294	16406	39209
295	16459	39146
296	16501	39059
297	16574	39044
298	16737	39240
299	16810	39225
300	16883	39208
301	16953	39184
302	17055	39232
303	17169	39309
304	17260	39330
305	17436	39544
306	17510	39525
307	17589	39519
308	17651	39474
309	17815	39652
310	17940	39746
311	18055	39815
312	18138	39811
313	18243	39856
314	18365	39938
315	18466	39971
316	18538	39943
317	18626	39948
318	18712	39946
319	18822	39997
320	18887	39951
321	18934	39868
322	19042	39912
323	19138	39931
324	19228	39935
325	19322	39948
326	19405	39937
327	19485	39920
328	19574	39921
329	19655	39907
330	19732	39882
331	19805	39848
332	19871	39803
333	19933	39746
334	20009	39720
335	20083	39689
336	20142	39627
337	20199	39561
338	20269	39522
339	20314	39434
340	20382	39389
341	20439	39325
342	20485	39239
343	20549	39187
344	20611	39131
345	20664	39059
346	20735	39021
347	20791	38954
348	20911	39007
349	21062	39115
350	21342	39462
351	21437	39465
352	21545	39489
353	21598	39414
354	21668	39368
355	21755	39354
356	21911	39465
357	22037	39519
358	22093	39447
359	22151	39380
360	22201	39298
361	22286	39277
362	22340	39204
363	22412	39160
364	22476	39103
365	22526	39021
366	22578	38942
367	22629	38863
368	22690	38801
369	22736	38713
370	22806	38667
371	22862	38596
372	22918	38525
373	22990	38481
374	23048	38413
375	23132	38390
376	23222	38376
377	23294	38330
378	23357	38271
379	23470	38293
380	23730	38554
381	24068	38938
382	24182	38957
383	24269	38932
384	24326	38858
385	24387	38792
386	24453	38733
387	24541	38709
388	24661	38736
389	24746	38706
390	24814	38649
391	24863	38564
392	24925	38498
393	24959	38389
394	24996	38285
395	25046	38202
396	25112	38143
397	25164	38063
398	25217	37984
399	25303	37954
400	25344	37859
401	25397	37780
402	25445	37695
403	25505	37627
404	25562	37555
405	25647	37524
406	25875	37700
407	25955	37661
408	26029	37611
409	26105	37567
410	26170	37504
411	26236	37444
412	26294	37373
413	26435	37418
414	26522	37387
415	26613	37360
416	26715	37350
417	26806	37323
418	26873	37264
419	26959	37229
420	27047	37198
421	27158	37198
422	27354	37313
423	27564	37446
424	27653	37414
425	27688	37307
426	27797	37302
427	28066	37509
428	28329	37706
429	28446	37708
430	29267	38638
431	29395	38650
432	29499	38628
433	29641	38657
434	29836	38753
435	30099	38935
436	30266	38993
437	30324	38909
438	30479	38950
439	30527	38853
440	30589	38774
441	30637	38678
442	30701	38601
443	30832	38610
444	30895	38532
445	31039	38555
446	31125	38507
447	31223	38471
448	31328	38444
449	31454	38444
450	31555	38411
451	31662	38387
452	31769	38361
453	31884	38345
454	31968	38292
455	32042	38225
456	32128	38174
457	32199	38105
458	32248	38009
459	32299	37917
460	32400	37882
461	32450	37788
462	32520	37718
463	32599	37658
464	32694	37616
465	32754	37533
466	32807	37443
467	32860	37354
468	32908	37258
469	32965	37173
470	33013	37078
471	33077	37001
472	33153	36938
473	33200	36842
474	33294	36799
475	33394	36761
476	33452	36678
477	33549	36638
478	33618	36566
479	33707	36516
480	33750	36416
481	33787	36310
482	33835	36217
483	33877	36117
484	33929	36028
485	34093	36058
486	34144	35967
487	34187	35868
488	34224	35764
489	34253	35651
490	34313	35571
491	34363	35481
492	34403	35380
493	34435	35271
494	34474	35171
495	34512	35069
496	34562	34980
497	34613	34891
498	34667	34806
499	34741	34741
500	34799	34660
501	34866	34589
502	34932	34516
503	34992	34436
504	35036	34342
505	35083	34251
506	35126	34156
507	35178	34070
508	35218	33973
509	35300	33916
510	35382	33859
511	35432	33771
512	35487	33688
513	35535	33599
514	35590	33517
515	35636	33426
516	35676	33330
517	35726	33243
518	35771	33152
519	35824	33068
520	35872	32980
521	35915	32887
522	35961	32798
523	36013	32714
524	36066	32631
525	36105	32535
526	36143	32440
527	36184	32347
528	36226	32254
529	36267	32161
530	36303	32065
531	36343	31971
532	36396	31889
533	36436	31796
534	36491	31716
535	36540	31632
536	36597	31554
537	36644	31468
538	36685	31376
539	36731	31289
540	36779	31204
541	36829	31121
542	36884	31042
543	36933	30959
544	36991	30882
545	37033	30793
546	37069	30699
547	37125	30621
548	37179	30542
549	37229	30460
550	37269	30370
551	37316	30285
552	37358	30197
553	37414	30120
554	37477	30049
555	37549	29985
556	37605	29908
557	37659	29830
558	37703	29744
559	37751	29661
560	37792	29574
561	37830	29483
562	37887	29408
563	37921	29315
564	37961	29226
565	38008	29144
566	38054	29060
567	38087	28968
568	38137	28887
569	38179	28802
570	38222	28717
571	38264	28631
572	38315	28552
573	38363	28472
574	38420	28397
575	38485	28329
576	38534	28249
577	38605	28185
578	38685	28128
579	38746	28057
580	38840	28010
581	39018	28023
582	39142	27997
583	39450	28101
584	39521	28036
585	39792	28112
586	39838	28029
587	39871	27937
588	39916	27853
589	39944	27757
590	39969	27660
591	40014	27577
592	40045	27484
593	40067	27386
594	40119	27308
595	40156	27220
596	40189	27129
597	40204	27027
598	40223	26927
599	40246	26830
600	40266	26732
601	40286	26634
602	40313	26541
603	40327	26440
604	40349	26343
605	40366	26244
606	40387	26148
607	40406	26051
608	40428	25956
609	40447	25860
610	40473	25767
611	40491	25671
612	40511	25575
613	40532	25481
614	40556	25388
615	40570	25290
616	40591	25197
617	40608	25101
618	40627	25006
619	40640	24908
620	40653	24811
621	40671	24716
622	40690	24623
623	40711	24531
624	40731	24439
625	40747	24344
626	40770	24253
627	40788	24161
628	40810	24070
629	40836	23983
630	40860	23894
631	40887	23808
632	40904	23715
633	40922	23624
634	40943	23534
635	40963	23444
636	40979	23352
637	41001	23264
638	41017	23172
639	41037	23083
640	41059	22995
641	41076	22905
642	41096	22817
643	41112	22726
644	41136	22641
645	41157	22553
646	41172	22463
647	41193	22376
648	41211	22288
649	41234	22203
650	41255	22116
651	41283	22034
652	41305	21949
653	41323	21862
654	41340	21774
655	41359	21688
656	41381	21604
657	41409	21522
658	41430	21438
659	41455	21355
660	41474	21270
661	41501	21189
662	41523	21106
663	41550	21025
664	41568	20940
665	41590	20857
666	41610	20774
667	41628	20689
668	41649	20606
669	41670	20524
670	41697	20444
671	41715	20361
672	41733	20277
673	41750	20193
674	41773	20113
675	41792	20030
676	41810	19948
677	41832	19867
678	41854	19786
679	41881	19709
680	41898	19626
681	41915	19544
682	41940	19465
683	41965	19387
684	41987	19308
685	42006	19227
686	42028	19148
687	42046	19067
688	42065	18987
689	42084	18907
690	42103	18827
691	42119	18746
692	42137	18666
693	42153	18586
694	42168	18505
695	42187	18426
696	42212	18350
697	42235	18273
698	42253	18194
699	42275	18117
700	42293	18039
701	42309	17960
702	42328	17882
703	42348	17805
704	42367	17728
705	42385	17650
706	42407	17574
707	42427	17498
708	42453	17424
709	42472	17348
710	42496	17273
711	42516	17197
712	42538	17122
713	42561	17048
714	42573	16969
715	42594	16895
716	42613	16819
717	42632	16744
718	42647	16667
719	42662	16590
720	42683	16516
721	42700	16441
722	42715	16365
723	42732	16290
724	42751	16216
725	42770	16142
726	42793	16069
727	42815	15996
728	42831	15922
729	42852	15849
730	42867	15774
731	42883	15700
732	42899	15626
