iter	Passed	Remaining
0	4	22106
1	9	24754
2	14	24939
3	20	25026
4	26	26273
5	32	26830
6	37	26998
7	45	28133
8	53	29642
9	60	30063
10	65	29636
11	70	29450
12	76	29426
13	82	29409
14	86	28786
15	93	29109
16	96	28429
17	100	27774
18	104	27392
19	112	27953
20	116	27675
21	123	27859
22	128	27907
23	132	27563
24	137	27414
25	144	27569
26	148	27371
27	154	27373
28	159	27292
29	162	26943
30	165	26570
31	170	26457
32	174	26227
33	179	26218
34	182	25931
35	185	25594
36	188	25269
37	192	25199
38	199	25356
39	202	25119
40	205	24855
41	209	24752
42	213	24648
43	216	24397
44	219	24178
45	223	24068
46	227	24021
47	232	23990
48	235	23794
49	240	23829
50	244	23730
51	248	23645
52	251	23486
53	256	23490
54	261	23484
55	264	23379
56	267	23229
57	272	23199
58	276	23166
59	279	23029
60	282	22876
61	285	22713
62	289	22687
63	294	22735
64	297	22610
65	300	22478
66	305	22471
67	308	22410
68	311	22273
69	314	22165
70	318	22083
71	321	22014
72	328	22167
73	332	22109
74	335	22062
75	341	22114
76	344	22021
77	346	21896
78	350	21848
79	355	21847
80	359	21857
81	362	21740
82	365	21634
83	369	21645
84	373	21570
85	375	21469
86	378	21378
87	381	21272
88	384	21212
89	389	21237
90	393	21215
91	396	21140
92	400	21115
93	405	21144
94	408	21080
95	410	20984
96	413	20907
97	417	20889
98	422	20921
99	425	20842
100	428	20772
101	432	20755
102	436	20740
103	439	20683
104	442	20614
105	444	20544
106	449	20543
107	454	20598
108	458	20558
109	461	20506
110	465	20520
111	469	20476
112	471	20402
113	474	20327
114	477	20274
115	481	20262
116	486	20285
117	489	20246
118	492	20183
119	496	20170
120	500	20166
121	502	20098
122	505	20042
123	508	20005
124	512	19991
125	516	19976
126	520	19964
127	523	19914
128	525	19859
129	530	19867
130	534	19870
131	538	19848
132	541	19808
133	545	19812
134	550	19833
135	553	19805
136	556	19754
137	560	19745
138	564	19732
139	567	19692
140	569	19635
141	572	19588
142	576	19577
143	580	19560
144	584	19581
145	587	19546
146	591	19535
147	595	19529
148	598	19490
149	601	19443
150	604	19406
151	608	19403
152	612	19410
153	616	19412
154	619	19379
155	623	19375
156	628	19379
157	631	19364
158	635	19334
159	638	19301
160	643	19350
161	648	19365
162	653	19379
163	657	19388
164	660	19353
165	663	19320
166	666	19284
167	671	19303
168	676	19344
169	679	19318
170	683	19314
171	689	19341
172	692	19312
173	695	19281
174	698	19258
175	702	19257
176	707	19282
177	710	19247
178	713	19226
179	718	19246
180	721	19218
181	724	19183
182	727	19151
183	731	19152
184	736	19165
185	740	19175
186	743	19141
187	746	19105
188	750	19112
189	753	19081
190	756	19042
191	759	19013
192	762	18984
193	766	18985
194	770	18979
195	774	18978
196	776	18938
197	779	18916
198	784	18933
199	787	18902
200	790	18878
201	793	18856
202	806	19068
203	824	19373
204	840	19663
205	843	19638
206	850	19692
207	860	19829
208	867	19878
209	872	19896
210	875	19866
211	879	19858
212	883	19857
213	886	19829
214	890	19814
215	894	19819
216	900	19844
217	904	19850
218	907	19821
219	912	19833
220	916	19829
221	920	19814
222	924	19808
223	929	19826
224	935	19849
225	938	19823
226	942	19811
227	946	19815
228	950	19793
229	953	19774
230	958	19779
231	962	19777
232	967	19794
233	971	19790
234	976	19796
235	980	19792
236	983	19768
237	987	19750
238	991	19754
239	996	19766
240	1000	19764
241	1004	19741
242	1009	19764
243	1013	19754
244	1017	19739
245	1021	19734
246	1025	19736
247	1031	19769
248	1035	19759
249	1040	19763
250	1045	19775
251	1048	19759
252	1052	19745
253	1056	19748
254	1063	19786
255	1067	19779
256	1073	19818
257	1078	19822
258	1082	19809
259	1086	19802
260	1091	19809
261	1096	19821
262	1099	19810
263	1105	19826
264	1109	19825
265	1113	19814
266	1117	19816
267	1123	19835
268	1128	19838
269	1131	19824
270	1137	19851
271	1141	19841
272	1146	19854
273	1153	19888
274	1156	19878
275	1160	19871
276	1164	19862
277	1169	19861
278	1174	19872
279	1178	19860
280	1183	19873
281	1187	19865
282	1190	19844
283	1194	19831
284	1199	19850
285	1206	19893
